Dataset,k,p1,p2,auc,c@1,f_05_u,F1_opt,brier,overall,F1_dev,th_dev
DV-MA-k-20000,k_0,0.01,0.41000000000000000,0.536,0.501,0.548,0.674,0.731,0.598,0.6682734795533060,0.25
DV-MA-k-20000,k_1,0.01,0.41000000000000000,0.537,0.501,0.547,0.673,0.731,0.598,0.6677383057386270,0.25
DV-MA-k-20000,k_2,0.01,0.44,0.539,0.495,0.54,0.675,0.734,0.597,0.6652172162499500,0.25
DV-MA-k-20000,k_3,0.01,0.44,0.537,0.495,0.541,0.676,0.734,0.597,0.6657007164131050,0.25
DV-MA-k-20000,k_4,0.01,0.44,0.542,0.497,0.543,0.678,0.735,0.599,0.666398487469327,0.25
DV-MA-k-300,k_0,0.01,0.98,0.528,0.486,0.532,0.672,0.726,0.589,0.668005946402025,0.25
DV-MA-k-300,k_1,0.01,0.98,0.531,0.488,0.534,0.674,0.727,0.591,0.6674169949352840,0.25
DV-MA-k-300,k_2,0.01,0.98,0.532,0.486,0.532,0.672,0.727,0.59,0.6670955291090380,0.25
DV-MA-k-300,k_3,0.01,0.98,0.524,0.481,0.527,0.668,0.725,0.585,0.6652709557935420,0.25
DV-MA-k-300,k_4,0.01,0.97,0.526,0.499,0.551,0.667,0.685,0.586,0.6655395886165120,0.25
DV-MA-k-3000,k_0,0.88,0.91,0.548,0.512,0.548,0.66,0.714,0.597,0.6675793203414400,0.4271771771771770
DV-MA-k-3000,k_1,0.89,0.91,0.55,0.517,0.551,0.655,0.715,0.598,0.6677676629340210,0.4271771771771770
DV-MA-k-3000,k_2,0.01,0.9,0.543,0.499,0.544,0.674,0.703,0.593,0.6659691762906930,0.25
DV-MA-k-3000,k_3,0.87,0.91,0.55,0.51,0.547,0.667,0.715,0.598,0.6668817811479050,0.4436936936936940
DV-MA-k-3000,k_4,0.78,0.91,0.55,0.499,0.543,0.68,0.715,0.598,0.6684918270392140,0.49024024024024000
undistorted,k_0,0.43,0.45,0.588,0.535,0.557,0.647,0.752,0.616,0.6651324289405690,0.25
undistorted,k_1,0.01,0.43,0.584,0.498,0.543,0.681,0.751,0.612,0.6677383057386270,0.25
undistorted,k_2,0.43,0.45,0.582,0.526,0.548,0.637,0.751,0.609,0.6596573841032720,0.263013013013013
undistorted,k_3,0.11,0.43,0.584,0.493,0.538,0.676,0.751,0.609,0.6650016113438610,0.4857357357357360
undistorted,k_4,0.42,0.44,0.586,0.525,0.554,0.647,0.751,0.613,0.6648356086921400,0.2535035035035040
